Tiempo (s),Altura (cm)
0.0,14.0
0.01,13.991861020198924
0.02,13.983724406906939
0.03,13.975590160124046
0.04,13.967458279850245
0.05,13.959328766085536
0.06,13.951201618829918
0.07,13.943076838083392
0.08,13.934954423845959
0.09,13.926834376117617
0.1,13.918716694898366
0.11,13.910601380188208
0.12,13.902488431987141
0.13,13.894377850295166
0.14,13.886269635112283
0.15,13.878163786438492
0.16,13.870060304273792
0.17,13.861959188618185
0.18,13.85386043947167
0.19,13.845764056834248
0.2,13.837670040705918
0.21,13.82957839108668
0.22,13.821489107976532
0.23,13.813402191375477
0.24,13.805317641283514
0.25,13.797235457700642
0.26,13.789155640626863
0.27,13.781078190062175
0.28,13.773003106006579
0.29,13.764930388460074
0.3,13.756860037422662
0.31,13.748792052894341
0.32,13.740726434875112
0.33,13.732663183364975
0.34,13.72460229836393
0.35000000000000003,13.716543779871976
0.36,13.708487627889115
0.37,13.700433842415345
0.38,13.692382423450667
0.39,13.68433337099508
0.4,13.676286685048586
0.41000000000000003,13.668242365611183
0.42,13.660200412682872
0.43,13.652160826263653
0.44,13.644123606353526
0.45,13.63608875295249
0.46,13.628056266060547
0.47000000000000003,13.620026145677697
0.48,13.611998391803938
0.49,13.603973004439272
0.5,13.595949983583697
0.51,13.587929329237214
0.52,13.579911041399823
0.53,13.571895120071524
0.54,13.563881565252316
0.55,13.5558703769422
0.56,13.547861555141177
0.5700000000000001,13.539855099849245
0.58,13.531851011066404
0.59,13.523849288792656
0.6,13.515849933027999
0.61,13.507852943772434
0.62,13.499858321025961
0.63,13.49186606478858
0.64,13.48387617506029
0.65,13.475888651841093
0.66,13.467903495130987
0.67,13.459920704929973
0.68,13.45194028123805
0.6900000000000001,13.44396222405522
0.7000000000000001,13.435986533381481
0.71,13.428013209216834
0.72,13.420042251561279
0.73,13.412073660414816
0.74,13.404107435777444
0.75,13.396143577649164
0.76,13.388182086029978
0.77,13.380222960919884
0.78,13.372266202318881
0.79,13.36431181022697
0.8,13.356359784644152
0.81,13.348410125570425
0.8200000000000001,13.34046283300579
0.8300000000000001,13.332517906950246
0.84,13.324575347403794
0.85,13.316635154366434
0.86,13.308697327838166
0.87,13.30076186781899
0.88,13.292828774308905
0.89,13.284898047307912
0.9,13.276969686816011
0.91,13.269043692833202
0.92,13.261120065359485
0.93,13.25319880439486
0.9400000000000001,13.245279909939326
0.9500000000000001,13.237363381992884
0.96,13.229449220555534
0.97,13.221537425627275
0.98,13.213627997208109
0.99,13.205720935298034
1.0,13.197816239897051
1.01,13.18991391100516
1.02,13.18201394862236
1.03,13.174116352748653
1.04,13.166221123384037
1.05,13.158328260528515
1.06,13.150437764182085
1.07,13.142549634344746
1.08,13.1346638710165
1.09,13.126780474197345
1.1,13.118899443887281
1.11,13.11102078008631
1.12,13.10314448279443
1.1300000000000001,13.095270552011643
1.1400000000000001,13.087398987737947
1.1500000000000001,13.079529789973343
1.16,13.07166295871783
1.17,13.06379849397141
1.18,13.055936395734081
1.19,13.048076664005844
1.2,13.040219298786699
1.21,13.032364300076646
1.22,13.024511667875684
1.23,13.016661402183814
1.24,13.008813503001036
1.25,13.00096797032735
1.26,12.993124804162756
1.27,12.985284004507253
1.28,12.977445571360843
1.29,12.969609504723524
1.3,12.961775804595296
1.31,12.953944470976161
1.32,12.946115503866118
1.33,12.938288903265166
1.34,12.930464669173308
1.35,12.922642801590541
1.36,12.914823300516867
1.37,12.907006165952284
1.3800000000000001,12.899191397896793
1.3900000000000001,12.891378996350394
1.4000000000000001,12.883568961313086
1.41,12.87576129278487
1.42,12.867955990765747
1.43,12.860153055255715
1.44,12.852352486254775
1.45,12.844554283762927
1.46,12.83675844778017
1.47,12.828964978306505
1.48,12.821173875341932
1.49,12.813385138886451
1.5,12.805598768940062
1.51,12.797814765502764
1.52,12.790033128574558
1.53,12.782253858155444
1.54,12.774476954245422
1.55,12.766702416844492
1.56,12.758930245952653
1.57,12.751160441569906
1.58,12.743393003696251
1.59,12.735627932331688
1.6,12.727865227476217
1.61,12.720104889129837
1.62,12.71234691729255
1.6300000000000001,12.704591311964355
1.6400000000000001,12.696838073145253
1.6500000000000001,12.689087200835242
1.6600000000000001,12.681338695034324
1.67,12.673592555742497
1.68,12.665848782959761
1.69,12.658107376686118
1.7,12.650368336921566
1.71,12.642631663666107
1.72,12.634897356919739
1.73,12.627165416682463
1.74,12.619435842954278
1.75,12.611708635735186
1.76,12.603983795025185
1.77,12.596261320824276
1.78,12.588541213132459
1.79,12.580823471949733
1.8,12.5731080972761
1.81,12.565395089111558
1.82,12.557684447456108
1.83,12.54997617230975
1.84,12.542270263672483
1.85,12.534566721544309
1.86,12.526865545925226
1.87,12.519166736815235
1.8800000000000001,12.511470294214336
1.8900000000000001,12.503776218122528
1.9000000000000001,12.496084508539813
1.9100000000000001,12.488395165466189
1.92,12.480708188901659
1.93,12.47302357884622
1.94,12.465341335299874
1.95,12.457661458262619
1.96,12.449983947734456
1.97,12.442308803715385
1.98,12.434636026205405
1.99,12.426965615204518
2.0,12.419297570712722
2.0100000000000002,12.411631892730018
2.02,12.403968581256406
2.0300000000000002,12.396307636291885
2.04,12.388649057836457
2.05,12.38099284589012
2.06,12.373339000452875
2.07,12.365687521524722
2.08,12.35803840910566
2.09,12.35039166319569
2.1,12.342747283794813
2.11,12.335105270903027
2.12,12.327465624520332
2.13,12.31982834464673
2.14,12.31219343128222
2.15,12.3045608844268
2.16,12.296930704080474
2.17,12.289302890243238
2.18,12.281677442915095
2.19,12.274054362096043
2.2,12.266433647786084
2.21,12.258815299985217
2.22,12.251199318693443
2.23,12.24358570391076
2.24,12.23597445563717
2.25,12.22836557387267
2.2600000000000002,12.220759058617263
2.27,12.213154909870948
2.2800000000000002,12.205553127633724
2.29,12.197953711905592
2.3000000000000003,12.190356662686552
2.31,12.182761979976604
2.32,12.175169663775748
2.33,12.167579714083983
2.34,12.15999213090131
2.35,12.15240691422773
2.36,12.14482406406324
2.37,12.137243580407842
2.38,12.129665463261537
2.39,12.122089712624323
2.4,12.114516328496201
2.41,12.10694531087717
2.42,12.099376659767232
2.43,12.091810375166386
2.44,12.08424645707463
2.45,12.076684905491968
2.46,12.069125720418397
2.47,12.061568901853917
2.48,12.05401444979853
2.49,12.046462364252234
2.5,12.038912645215031
